Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
66,V25 Analogue,Analogue,	145.31250,	145.31250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
67,V26 Analogue,Analogue,	145.32500,	145.32500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
68,V27 Analogue,Analogue,	145.33750,	145.33750,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
69,V28 Analogue,Analogue,	145.35000,	145.35000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
70,V29 Analogue,Analogue,	145.36250,	145.36250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
71,V30 Analogue,Analogue,	145.37500,	145.37500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
72,V31 Analogue,Analogue,	145.38750,	145.38750,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
73,V32 Analogue,Analogue,	145.40000,	145.40000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
74,V33 Analogue,Analogue,	145.41250,	145.41250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
75,V34 Analogue,Analogue,	145.42500,	145.42500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
76,V35 Analogue,Analogue,	145.43750,	145.43750,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
77,V36 Analogue,Analogue,	145.45000,	145.45000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
78,V37 Analogue,Analogue,	145.46250,	145.46250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
79,V38 Analogue,Analogue,	145.47500,	145.47500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
80,V39 Analogue,Analogue,	145.48750,	145.48750,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
81,V40CAL Analogue,Analogue,	145.50000,	145.50000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
82,V41 Analogue,Analogue,	145.51250,	145.51250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
83,V42 Analogue,Analogue,	145.52500,	145.52500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
84,V43 Analogue,Analogue,	145.53750,	145.53750,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
85,V44 Analogue,Analogue,	145.55000,	145.55000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
86,V45 Analogue,Analogue,	145.56250,	145.56250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
87,V46 Analogue,Analogue,	145.57500,	145.57500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
88,V47 Analogue,Analogue,	145.58750,	145.58750,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
89,U272 Analogue,Analogue,	433.40000,	433.40000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
90,U274 Analogue,Analogue,	433.42500,	433.42500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
91,U276 Analogue,Analogue,	433.45000,	433.45000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
92,U278 Analogue,Analogue,	433.47500,	433.47500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
93,U280CA Analogue,Analogue,	433.50000,	433.50000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
94,U282 Analogue,Analogue,	433.52500,	433.52500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
95,U284 Analogue,Analogue,	433.55000,	433.55000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
96,U286 Analogue,Analogue,	433.57500,	433.57500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
